,source_taxon_name,interaction_type,target_taxon_name
0,Graphium sarpedon,pollinates,Musaenda parviflora
1,Graphium sarpedon,pollinates,Cornus alpina
2,Graphium sarpedon,pollinates,Polygonum thunbergii
3,Graphium sarpedon,pollinates,Stenactis annua
4,Graphium sarpedon,pollinates,Schima
5,Graphium sarpedon,pollinates,Brucea javanica
6,Graphium sarpedon,pollinates,Cayratia japonica
7,Graphium sarpedon,pollinates,Musaenda parviflora
8,Graphium sarpedon,pollinates,Cornus alpina
9,Graphium sarpedon,pollinates,Polygonum thunbergii
10,Graphium sarpedon,pollinates,Stenactis annua
11,Graphium sarpedon,pollinates,Schima
12,Graphium sarpedon,pollinates,Brucea javanica
13,Graphium sarpedon,pollinates,Cayratia japonica
14,Graphium sarpedon,pollinates,Deutzia
15,Graphium sarpedon,pollinates,Bauhinia
16,Graphium sarpedon,pollinates,Ligustrum obtusifolium
17,Graphium sarpedon,pollinates,Deutzia scabra
18,Graphium sarpedon,pollinates,Pittosporum tobira
19,Graphium sarpedon,pollinates,Deutzia
20,Graphium sarpedon,pollinates,Bauhinia
21,Graphium sarpedon,pollinates,Ligustrum obtusifolium
22,Graphium sarpedon,pollinates,Deutzia scabra
23,Graphium sarpedon,pollinates,Pittosporum tobira
0,Autographa gamma,pollinates,Daphne
1,Autographa gamma,pollinates,Daphne
2,Autographa gamma,pollinates,Platanthera chlorantha
3,Autographa gamma,pollinates,Platanthera chlorantha
0,Pieris brassicae,pollinates,Reichardia picroides
1,Pieris brassicae,pollinates,Malcolmia chia
2,Pieris brassicae,pollinates,Petrorhagia dubia
3,Pieris brassicae,pollinates,Tremastelma
4,Pieris brassicae,pollinates,Pterocephalus papposus
5,Pieris brassicae,pollinates,Cardaria draba
6,Pieris brassicae,pollinates,Dittrichia graveolens
7,Pieris brassicae,pollinates,Heliotropium europaeum
8,Pieris brassicae,pollinates,Thymus capitatus
9,Pieris brassicae,pollinates,Bellardia trixago
10,Pieris brassicae,pollinates,Asphodelus aestivus
11,Pieris brassicae,pollinates,Scorzonera
12,Pieris brassicae,pollinates,Astragalus monspessulanus
13,Pieris brassicae,pollinates,Eruca vesicaria
14,Pieris brassicae,pollinates,Salvia verbenaca
15,Pieris brassicae,pollinates,Erodium malacoides
16,Pieris brassicae,pollinates,Leontodon autumnalis
17,Pieris brassicae,pollinates,Ornithogalum
18,Pieris brassicae,pollinates,Daphne
19,Pieris brassicae,pollinates,Heliotropium
20,Pieris brassicae,pollinates,Echium
21,Pieris brassicae,pollinates,Centaurea
22,Pieris brassicae,pollinates,Geranium rotundifolium
23,Pieris brassicae,pollinates,Scabiosa atropurpurea
24,Pieris brassicae,pollinates,Carduus pycnocephalus
25,Pieris brassicae,pollinates,Reichardia picroides
26,Pieris brassicae,pollinates,Malcolmia chia
27,Pieris brassicae,pollinates,Petrorhagia dubia
28,Pieris brassicae,pollinates,Tremastelma
29,Pieris brassicae,pollinates,Pterocephalus papposus
30,Pieris brassicae,pollinates,Cardaria draba
31,Pieris brassicae,pollinates,Dittrichia graveolens
32,Pieris brassicae,pollinates,Heliotropium europaeum
33,Pieris brassicae,pollinates,Thymus capitatus
34,Pieris brassicae,pollinates,Bellardia trixago
35,Pieris brassicae,pollinates,Asphodelus aestivus
36,Pieris brassicae,pollinates,Scorzonera
37,Pieris brassicae,pollinates,Astragalus monspessulanus
38,Pieris brassicae,pollinates,Eruca vesicaria
39,Pieris brassicae,pollinates,Salvia verbenaca
40,Pieris brassicae,pollinates,Erodium malacoides
41,Pieris brassicae,pollinates,Leontodon autumnalis
42,Pieris brassicae,pollinates,Ornithogalum
43,Pieris brassicae,pollinates,Daphne
44,Pieris brassicae,pollinates,Heliotropium
45,Pieris brassicae,pollinates,Echium
46,Pieris brassicae,pollinates,Centaurea
47,Pieris brassicae,pollinates,Geranium rotundifolium
48,Pieris brassicae,pollinates,Scabiosa atropurpurea
49,Pieris brassicae,pollinates,Carduus pycnocephalus
50,Pieris brassicae,pollinates,Sisymbrium orientale
51,Pieris brassicae,pollinates,Hypochaeris radicata
52,Pieris brassicae,pollinates,Erodium cicutarium
53,Pieris brassicae,pollinates,Sisymbrium orientale
54,Pieris brassicae,pollinates,Hypochaeris radicata
55,Pieris brassicae,pollinates,Erodium cicutarium
0,Agrotis ipsilon,pollinates,Hebe salicifolia
1,Agrotis ipsilon,pollinates,Dipsacus sylvestris
2,Agrotis ipsilon,pollinates,Heuchera
3,Agrotis ipsilon,pollinates,Gaura
4,Agrotis ipsilon,pollinates,Hibiscus trionum
5,Agrotis ipsilon,pollinates,Apios americana
6,Agrotis ipsilon,pollinates,Aquilegia canadensis
7,Agrotis ipsilon,pollinates,Hibiscus laevis
8,Agrotis ipsilon,pollinates,Asclepias purpurascens
9,Agrotis ipsilon,pollinates,Heliopsis helianthoides
10,Agrotis ipsilon,pollinates,Echinacea pallida
11,Agrotis ipsilon,pollinates,Hydrophyllum appendiculatum
