,source_taxon_name,interaction_type,target_taxon_name
0,Brassica rapa pekinensis,interactsWith,Lipaphis pseudobrassicae
1,Brassica rapa pekinensis,interactsWith,Myzus
2,Brassica rapa pekinensis,interactsWith,Lipaphis pseudobrassicae
3,Brassica rapa pekinensis,interactsWith,Myzus
4,Brassica rapa pekinensis,interactsWith,Hyaloperonospora parasitica
5,Brassica rapa pekinensis,interactsWith,Peronospora parasitica
6,Brassica rapa pekinensis,interactsWith,Hyaloperonospora parasitica
7,Brassica rapa pekinensis,interactsWith,Peronospora parasitica
8,Brassica rapa pekinensis,interactsWith,Brassica rapa pekinensis
9,Brassica rapa pekinensis,interactsWith,Brassica rapa pekinensis
10,Brassica rapa pekinensis,hasParasite,Brachymeria bengalensis
11,Brassica rapa pekinensis,hasParasite,Brachymeria lasus
12,Brassica rapa pekinensis,hasParasite,Brachymeria bengalensis
13,Brassica rapa pekinensis,hasParasite,Brachymeria lasus
14,Brassica rapa pekinensis,hasPathogen,Erwinia
15,Brassica rapa pekinensis,hasPathogen,Erwinia carotovora
16,Brassica rapa pekinensis,hasPathogen,Xanthomonas campestris
17,Brassica rapa pekinensis,hasPathogen,Erwinia
18,Brassica rapa pekinensis,hasPathogen,Erwinia carotovora
19,Brassica rapa pekinensis,hasPathogen,Xanthomonas campestris
0,Brassica oleracea capitata,interactsWith,Graphium
1,Brassica oleracea capitata,interactsWith,Alternaria
2,Brassica oleracea capitata,interactsWith,Ascochyta
3,Brassica oleracea capitata,interactsWith,Cephalotrichum
4,Brassica oleracea capitata,interactsWith,Diplodiella
5,Brassica oleracea capitata,interactsWith,Ascochyta brassicae
6,Brassica oleracea capitata,interactsWith,Diplodiella brassicae
7,Brassica oleracea capitata,interactsWith,Ctenomyces serratus
8,Brassica oleracea capitata,interactsWith,Arnium olerum
9,Brassica oleracea capitata,interactsWith,Pyxidiophora petchii
10,Brassica oleracea capitata,interactsWith,Olpidium brassicae
